residue_type,atom_name,mu,sigma
CYS,CB,0.0568,0.0568
CYS,HCB,0.0568,0.0568
CYS,SG,0.1057,0.1057
CYS,HSG,0.1057,0.1057
ASP,CB,0.0591,0.0591
ASP,HCB,0.0591,0.0591
ASP,CG,0.0867,0.0867
ASP,HCG,0.0867,0.0867
ASP,OD1,0.1316,0.1316
ASP,HOD1,0.1316,0.1316
ASP,OD2,0.1336,0.1336
ASP,HOD2,0.1336,0.1336
GLU,CB,0.0555,0.0555
GLU,HCB,0.0555,0.0555
GLU,CD,0.1035,0.1035
GLU,HCD,0.1035,0.1035
GLU,CG,0.1046,0.1046
GLU,HCG,0.1046,0.1046
GLU,OE1,0.1627,0.1627
GLU,HOE1,0.1627,0.1627
GLU,OE2,0.1659,0.1659
GLU,HOE2,0.1659,0.1659
PHE,CB,0.0615,0.0615
PHE,HCB,0.0615,0.0615
PHE,CD1,0.1169,0.1169
PHE,HCD1,0.1169,0.1169
PHE,CD2,0.1248,0.1248
PHE,HCD2,0.1248,0.1248
PHE,CE1,0.149,0.149
PHE,HCE1,0.149,0.149
PHE,CE2,0.1565,0.1565
PHE,HCE2,0.1565,0.1565
PHE,CG,0.0785,0.0785
PHE,HCG,0.0785,0.0785
PHE,CZ,0.1575,0.1575
PHE,HCZ,0.1575,0.1575
HIS,CB,0.054,0.054
HIS,HCB,0.054,0.054
HSD,CB,0.054,0.054
HSP,CB,0.054,0.054
HSD,HCB,0.054,0.054
HSP,HCB,0.054,0.054
HIS,CD2,0.1453,0.1453
HIS,HCD2,0.1453,0.1453
HSD,CD2,0.1453,0.1453
HSP,CD2,0.1453,0.1453
HSD,HCD2,0.1453,0.1453
HSP,HCD2,0.1453,0.1453
HIS,CE1,0.1764,0.1764
HIS,HCE1,0.1764,0.1764
HSD,CE1,0.1764,0.1764
HSP,CE1,0.1764,0.1764
HSD,HCE1,0.1764,0.1764
HSP,HCE1,0.1764,0.1764
HIS,CG,0.0797,0.0797
HIS,HCG,0.0797,0.0797
HSD,CG,0.0797,0.0797
HSP,CG,0.0797,0.0797
