res_type,atom_name,mu,sigma
HSP,HCG,0.2017,0.2017
HIS,ND1,0.8214,0.8214
HIS,HND1,0.8214,0.8214
HSD,ND1,0.8214,0.8214
HSP,ND1,0.8214,0.8214
HSD,HND1,0.8214,0.8214
HSP,HND1,0.8214,0.8214
HIS,NE2,0.5655,0.5655
HIS,HNE2,0.5655,0.5655
HSD,NE2,0.5655,0.5655
HSP,NE2,0.5655,0.5655
HSD,HNE2,0.5655,0.5655
HSP,HNE2,0.5655,0.5655
ILE,CB,0.0391,0.0391
ILE,HCB,0.0391,0.0391
ILE,CD1,1.4242,1.4242
ILE,HCD1,1.4242,1.4242
ILE,CG1,1.2032,1.2032
ILE,HCG1,1.2032,1.2032
ILE,CG2,1.205,1.205
ILE,HCG2,1.205,1.205
LYS,CB,0.0557,0.0557
LYS,HCB,0.0557,0.0557
LYS,CD,0.3825,0.3825
LYS,HCD,0.3825,0.3825
LYS,CE,0.7777,0.7777
LYS,HCE,0.7777,0.7777
LYS,CG,0.245,0.245
LYS,HCG,0.245,0.245
LYS,NZ,1.2082,1.2082
LYS,HNZ,1.2082,1.2082
LEU,CB,0.0571,0.0571
LEU,HCB,0.0571,0.0571
LEU,CD1,0.3423,0.3423
LEU,HCD1,0.3423,0.3423
LEU,CD2,0.3355,0.3355
LEU,HCD2,0.3355,0.3355
LEU,CG,0.1722,0.1722
LEU,HCG,0.1722,0.1722
MET,CB,0.0562,0.0562
MET,HCB,0.0562,0.0562
MET,CE,1.2956,1.2956
MET,HCE,1.2956,1.2956
MET,CG,0.3085,0.3085
MET,HCG,0.3085,0.3085
MET,SD,0.5747,0.5747
MET,HSD,0.5747,0.5747
ASN,CB,0.0561,0.0561
ASN,HCB,0.0561,0.0561
ASN,CG,0.1957,0.1957
ASN,HCG,0.1957,0.1957
ASN,ND2,0.8368,0.8368
ASN,HND2,0.8368,0.8368
ASN,OD1,0.8009,0.8009
ASN,HOD1,0.8009,0.8009
PRO,CB,0.1186,0.1186
PRO,HCB,0.1186,0.1186
PRO,CD,0.2444,0.2444
PRO,HCD,0.2444,0.2444
PRO,CG,0.2228,0.2228
PRO,HCG,0.2228,0.2228
GLN,CB,0.054,0.054
GLN,HCB,0.054,0.054
GLN,CD,0.5396,0.5396
GLN,HCD,0.5396,0.5396
GLN,CG,0.3509,0.3509
GLN,HCG,0.3509,0.3509
GLN,NE2,1.0169,1.0169
GLN,HNE2,1.0169,1.0169
GLN,OE1,0.9619,0.9619
GLN,HOE1,0.9619,0.9619
ARG,CB,0.0592,0.0592
ARG,HCB,0.0592,0.0592
ARG,CD,0.614,0.614
ARG,HCD,0.614,0.614
ARG,CG,0.4401,0.4401
ARG,HCG,0.4401,0.4401
ARG,CZ,0.9727,0.9727
ARG,HCZ,0.9727,0.9727
ARG,NE,0.7826,0.7826
ARG,HNE,0.7826,0.7826
ARG,NH1,1.3938,1.3938
ARG,HNH1,1.3938,1.3938
ARG,NH2,1.1435,1.1435
ARG,HNH2,1.1435,1.1435
SER,CB,0.0667,0.0667
SER,HCB,0.0667,0.0667
SER,OG,1.1818,1.1818
SER,HOG,1.1818,1.1818
THR,CB,0.0574,0.0574
THR,HCB,0.0574,0.0574
THR,CG2,0.9914,0.9914
THR,HCG2,0.9914,0.9914
THR,OG1,0.9325,0.9325
THR,HOG1,0.9325,0.9325
VAL,CB,0.0404,0.0404
VAL,HCB,0.0404,0.0404
VAL,CG1,1.2286,1.2286
VAL,HCG1,1.2286,1.2286
VAL,CG2,1.2308,1.2308
VAL,HCG2,1.2308,1.2308
TRP,CB,0.0564,0.0564
TRP,HCB,0.0564,0.0564
TRP,CD1,0.3631,0.3631
TRP,HCD1,0.3631,0.3631
TRP,CD2,0.4149,0.4149
TRP,HCD2,0.4149,0.4149
TRP,CE2,0.4964,0.4964
TRP,HCE2,0.4964,0.4964
TRP,CE3,0.6521,0.6521
TRP,HCE3,0.6521,0.6521
TRP,CG,0.19,0.19
TRP,HCG,0.19,0.19
TRP,CH2,0.9263,0.9263
TRP,HCH2,0.9263,0.9263
TRP,CZ2,0.7292,0.7292
TRP,HCZ2,0.7292,0.7292
TRP,CZ3,0.9085,0.9085
TRP,HCZ3,0.9085,0.9085
TRP,NE1,0.4561,0.4561
TRP,HNE1,0.4561,0.4561
TYR,CB,0.0572,0.0572
TYR,HCB,0.0572,0.0572
TYR,CD1,0.4041,0.4041
TYR,HCD1,0.4041,0.4041
TYR,CD2,0.4068,0.4068
TYR,HCD2,0.4068,0.4068
TYR,CE1,0.525,0.525
TYR,HCE1,0.525,0.525
TYR,CE2,0.5466,0.5466
TYR,HCE2,0.5466,0.5466
TYR,CG,0.1768,0.1768
TYR,HCG,0.1768,0.1768
TYR,CZ,0.5164,0.5164
TYR,HCZ,0.5164,0.5164
TYR,OH,0.6971,0.6971
TYR,HOH,0.6971,0.6971
ALA,CB,0.0589,0.0589
ALA,HCB,0.0589,0.0589
