residue_type,atom_name,mu,sigma
CYS,CB,0.0568,0.0568
CYS,HCB,0.0568,0.0568
CYS,SG,0.2286,0.2286
CYS,HSG,0.2286,0.2286
ASP,CB,0.0591,0.0591
ASP,HCB,0.0591,0.0591
ASP,CG,0.1853,0.1853
ASP,HCG,0.1853,0.1853
ASP,OD1,0.3169,0.3169
ASP,HOD1,0.3169,0.3169
ASP,OD2,0.3307,0.3307
ASP,HOD2,0.3307,0.3307
GLU,CB,0.0555,0.0555
GLU,HCB,0.0555,0.0555
GLU,CD,0.2095,0.2095
GLU,HCD,0.2095,0.2095
GLU,CG,0.1771,0.1771
GLU,HCG,0.1771,0.1771
GLU,OE1,0.357,0.357
GLU,HOE1,0.357,0.357
GLU,OE2,0.3865,0.3865
GLU,HOE2,0.3865,0.3865
PHE,CB,0.0615,0.0615
PHE,HCB,0.0615,0.0615
PHE,CD1,0.2366,0.2366
PHE,HCD1,0.2366,0.2366
PHE,CD2,0.2551,0.2551
PHE,HCD2,0.2551,0.2551
PHE,CE1,0.3127,0.3127
PHE,HCE1,0.3127,0.3127
PHE,CE2,0.3381,0.3381
PHE,HCE2,0.3381,0.3381
PHE,CG,0.1123,0.1123
PHE,HCG,0.1123,0.1123
PHE,CZ,0.3153,0.3153
PHE,HCZ,0.3153,0.3153
HIS,CB,0.054,0.054
HIS,HCB,0.054,0.054
HSD,CB,0.054,0.054
HSP,CB,0.054,0.054
HSD,HCB,0.054,0.054
HSP,HCB,0.054,0.054
HIS,CD2,0.2907,0.2907
HIS,HCD2,0.2907,0.2907
HSD,CD2,0.2907,0.2907
HSP,CD2,0.2907,0.2907
HSD,HCD2,0.2907,0.2907
HSP,HCD2,0.2907,0.2907
HIS,CE1,0.3114,0.3114
HIS,HCE1,0.3114,0.3114
HSD,CE1,0.3114,0.3114
HSP,CE1,0.3114,0.3114
HSD,HCE1,0.3114,0.3114
HSP,HCE1,0.3114,0.3114
HIS,CG,0.1197,0.1197
HIS,HCG,0.1197,0.1197
HSD,CG,0.1197,0.1197
HSP,CG,0.1197,0.1197
