res_type,atom_name,mu,sigma
HSP,HCG,0.2017,0.2017
HIS,ND1,0.8214,0.8214
HIS,HND1,0.8214,0.8214
HSD,ND1,0.8214,0.8214
HSP,ND1,0.8214,0.8214
HSD,HND1,0.8214,0.8214
HSP,HND1,0.8214,0.8214
HIS,NE2,0.5655,0.5655
HIS,HNE2,0.5655,0.5655
HSD,NE2,0.5655,0.5655
HSP,NE2,0.5655,0.5655
HSD,HNE2,0.5655,0.5655
HSP,HNE2,0.5655,0.5655
ILE,CB,0.0391,0.0391
ILE,HCB,0.0391,0.0391
ILE,CD1,1.3978,1.3978
ILE,HCD1,1.3978,1.3978
ILE,CG1,1.1797,1.1797
ILE,HCG1,1.1797,1.1797
ILE,CG2,1.1816,1.1816
ILE,HCG2,1.1816,1.1816
LYS,CB,0.0557,0.0557
LYS,HCB,0.0557,0.0557
LYS,CD,0.4188,0.4188
LYS,HCD,0.4188,0.4188
LYS,CE,0.8357,0.8357
LYS,HCE,0.8357,0.8357
LYS,CG,0.2513,0.2513
LYS,HCG,0.2513,0.2513
LYS,NZ,1.1842,1.1842
LYS,HNZ,1.1842,1.1842
LEU,CB,0.0571,0.0571
LEU,HCB,0.0571,0.0571
LEU,CD1,0.3889,0.3889
LEU,HCD1,0.3889,0.3889
LEU,CD2,0.3473,0.3473
LEU,HCD2,0.3473,0.3473
LEU,CG,0.1942,0.1942
LEU,HCG,0.1942,0.1942
MET,CB,0.0562,0.0562
MET,HCB,0.0562,0.0562
MET,CE,1.5144,1.5144
MET,HCE,1.5144,1.5144
MET,CG,0.4669,0.4669
MET,HCG,0.4669,0.4669
MET,SD,0.9246,0.9246
MET,HSD,0.9246,0.9246
ASN,CB,0.0561,0.0561
ASN,HCB,0.0561,0.0561
ASN,CG,0.203,0.203
ASN,HCG,0.203,0.203
ASN,ND2,0.8205,0.8205
ASN,HND2,0.8205,0.8205
ASN,OD1,0.8176,0.8176
ASN,HOD1,0.8176,0.8176
PRO,CB,0.1186,0.1186
PRO,HCB,0.1186,0.1186
PRO,CD,0.2444,0.2444
PRO,HCD,0.2444,0.2444
PRO,CG,0.2228,0.2228
PRO,HCG,0.2228,0.2228
GLN,CB,0.054,0.054
GLN,HCB,0.054,0.054
GLN,CD,0.6295,0.6295
GLN,HCD,0.6295,0.6295
GLN,CG,0.4239,0.4239
GLN,HCG,0.4239,0.4239
GLN,NE2,1.1437,1.1437
GLN,HNE2,1.1437,1.1437
GLN,OE1,1.1102,1.1102
GLN,HOE1,1.1102,1.1102
ARG,CB,0.0592,0.0592
ARG,HCB,0.0592,0.0592
ARG,CD,0.6299,0.6299
ARG,HCD,0.6299,0.6299
ARG,CG,0.4452,0.4452
ARG,HCG,0.4452,0.4452
ARG,CZ,1.0252,1.0252
ARG,HCZ,1.0252,1.0252
ARG,NE,0.8061,0.8061
ARG,HNE,0.8061,0.8061
ARG,NH1,1.4312,1.4312
ARG,HNH1,1.4312,1.4312
ARG,NH2,1.2471,1.2471
ARG,HNH2,1.2471,1.2471
SER,CB,0.0667,0.0667
SER,HCB,0.0667,0.0667
SER,OG,1.1818,1.1818
SER,HOG,1.1818,1.1818
THR,CB,0.0574,0.0574
THR,HCB,0.0574,0.0574
THR,CG2,0.9914,0.9914
THR,HCG2,0.9914,0.9914
THR,OG1,0.9325,0.9325
THR,HOG1,0.9325,0.9325
VAL,CB,0.0404,0.0404
VAL,HCB,0.0404,0.0404
VAL,CG1,1.2286,1.2286
VAL,HCG1,1.2286,1.2286
VAL,CG2,1.2308,1.2308
VAL,HCG2,1.2308,1.2308
TRP,CB,0.0564,0.0564
TRP,HCB,0.0564,0.0564
TRP,CD1,0.3631,0.3631
TRP,HCD1,0.3631,0.3631
TRP,CD2,0.4149,0.4149
TRP,HCD2,0.4149,0.4149
TRP,CE2,0.4964,0.4964
TRP,HCE2,0.4964,0.4964
TRP,CE3,0.6521,0.6521
TRP,HCE3,0.6521,0.6521
TRP,CG,0.19,0.19
TRP,HCG,0.19,0.19
TRP,CH2,0.9263,0.9263
TRP,HCH2,0.9263,0.9263
TRP,CZ2,0.7292,0.7292
TRP,HCZ2,0.7292,0.7292
TRP,CZ3,0.9085,0.9085
TRP,HCZ3,0.9085,0.9085
TRP,NE1,0.4561,0.4561
TRP,HNE1,0.4561,0.4561
TYR,CB,0.0572,0.0572
TYR,HCB,0.0572,0.0572
TYR,CD1,0.4031,0.4031
TYR,HCD1,0.4031,0.4031
TYR,CD2,0.4061,0.4061
TYR,HCD2,0.4061,0.4061
TYR,CE1,0.5238,0.5238
TYR,HCE1,0.5238,0.5238
TYR,CE2,0.5456,0.5456
TYR,HCE2,0.5456,0.5456
TYR,CG,0.1764,0.1764
TYR,HCG,0.1764,0.1764
TYR,CZ,0.5152,0.5152
TYR,HCZ,0.5152,0.5152
TYR,OH,0.6954,0.6954
TYR,HOH,0.6954,0.6954
ALA,CB,0.0589,0.0589
ALA,HCB,0.0589,0.0589
