res_type,atom_name,mu,sigma
CYS,CB,0.0568,0.0568
CYS,HCB,0.0568,0.0568
CYS,SG,0.2164,0.2164
CYS,HSG,0.2164,0.2164
ASP,CB,0.0591,0.0591
ASP,HCB,0.0591,0.0591
ASP,CG,0.177,0.177
ASP,HCG,0.177,0.177
ASP,OD1,0.5235,0.5235
ASP,HOD1,0.5235,0.5235
ASP,OD2,0.5978,0.5978
ASP,HOD2,0.5978,0.5978
GLU,CB,0.0555,0.0555
GLU,HCB,0.0555,0.0555
GLU,CD,0.3005,0.3005
GLU,HCD,0.3005,0.3005
GLU,CG,0.1864,0.1864
GLU,HCG,0.1864,0.1864
GLU,OE1,0.6132,0.6132
GLU,HOE1,0.6132,0.6132
GLU,OE2,0.7207,0.7207
GLU,HOE2,0.7207,0.7207
PHE,CB,0.0615,0.0615
PHE,HCB,0.0615,0.0615
PHE,CD1,0.3864,0.3864
PHE,HCD1,0.3864,0.3864
PHE,CD2,0.4242,0.4242
PHE,HCD2,0.4242,0.4242
PHE,CE1,0.5124,0.5124
PHE,HCE1,0.5124,0.5124
PHE,CE2,0.5564,0.5564
PHE,HCE2,0.5564,0.5564
PHE,CG,0.1731,0.1731
PHE,HCG,0.1731,0.1731
PHE,CZ,0.5103,0.5103
PHE,HCZ,0.5103,0.5103
HIS,CB,0.054,0.054
HIS,HCB,0.054,0.054
HSD,CB,0.054,0.054
HSP,CB,0.054,0.054
HSD,HCB,0.054,0.054
HSP,HCB,0.054,0.054
HIS,CD2,0.5572,0.5572
HIS,HCD2,0.5572,0.5572
HSD,CD2,0.5572,0.5572
HSP,CD2,0.5572,0.5572
HSD,HCD2,0.5572,0.5572
HSP,HCD2,0.5572,0.5572
HIS,CE1,0.571,0.571
HIS,HCE1,0.571,0.571
HSD,CE1,0.571,0.571
HSP,CE1,0.571,0.571
HSD,HCE1,0.571,0.571
HSP,HCE1,0.571,0.571
HIS,CG,0.1843,0.1843
HIS,HCG,0.1843,0.1843
HSD,CG,0.1843,0.1843
HSP,CG,0.1843,0.1843
HSD,HCG,0.1843,0.1843
