res_type,atom_name,mu,sigma
CYS,CB,0.0568,0.0568
CYS,HCB,0.0568,0.0568
CYS,SG,0.1311,0.1311
CYS,HSG,0.1311,0.1311
ASP,CB,0.0591,0.0591
ASP,HCB,0.0591,0.0591
ASP,CG,0.1012,0.1012
ASP,HCG,0.1012,0.1012
ASP,OD1,0.1571,0.1571
ASP,HOD1,0.1571,0.1571
ASP,OD2,0.1603,0.1603
ASP,HOD2,0.1603,0.1603
GLU,CB,0.0555,0.0555
GLU,HCB,0.0555,0.0555
GLU,CD,0.1212,0.1212
GLU,HCD,0.1212,0.1212
GLU,CG,0.1081,0.1081
GLU,HCG,0.1081,0.1081
GLU,OE1,0.1923,0.1923
GLU,HOE1,0.1923,0.1923
GLU,OE2,0.1943,0.1943
GLU,HOE2,0.1943,0.1943
PHE,CB,0.0615,0.0615
PHE,HCB,0.0615,0.0615
PHE,CD1,0.1224,0.1224
PHE,HCD1,0.1224,0.1224
PHE,CD2,0.1423,0.1423
PHE,HCD2,0.1423,0.1423
PHE,CE1,0.1636,0.1636
PHE,HCE1,0.1636,0.1636
PHE,CE2,0.1857,0.1857
PHE,HCE2,0.1857,0.1857
PHE,CG,0.0805,0.0805
PHE,HCG,0.0805,0.0805
PHE,CZ,0.1814,0.1814
PHE,HCZ,0.1814,0.1814
HIS,CB,0.054,0.054
HIS,HCB,0.054,0.054
HSD,CB,0.054,0.054
HSP,CB,0.054,0.054
HSD,HCB,0.054,0.054
HSP,HCB,0.054,0.054
HIS,CD2,0.1616,0.1616
HIS,HCD2,0.1616,0.1616
HSD,CD2,0.1616,0.1616
HSP,CD2,0.1616,0.1616
HSD,HCD2,0.1616,0.1616
HSP,HCD2,0.1616,0.1616
HIS,CE1,0.1909,0.1909
HIS,HCE1,0.1909,0.1909
HSD,CE1,0.1909,0.1909
HSP,CE1,0.1909,0.1909
HSD,HCE1,0.1909,0.1909
HSP,HCE1,0.1909,0.1909
HIS,CG,0.0854,0.0854
HIS,HCG,0.0854,0.0854
HSD,CG,0.0854,0.0854
HSP,CG,0.0854,0.0854
