res_type,atom_name,mu,sigma
CYS,CB,0.0568,0.0568
CYS,HCB,0.0568,0.0568
CYS,SG,0.1531,0.1531
CYS,HSG,0.1531,0.1531
ASP,CB,0.0591,0.0591
ASP,HCB,0.0591,0.0591
ASP,CG,0.1106,0.1106
ASP,HCG,0.1106,0.1106
ASP,OD1,0.1808,0.1808
ASP,HOD1,0.1808,0.1808
ASP,OD2,0.1848,0.1848
ASP,HOD2,0.1848,0.1848
GLU,CB,0.0555,0.0555
GLU,HCB,0.0555,0.0555
GLU,CD,0.1353,0.1353
GLU,HCD,0.1353,0.1353
GLU,CG,0.1191,0.1191
GLU,HCG,0.1191,0.1191
GLU,OE1,0.2055,0.2055
GLU,HOE1,0.2055,0.2055
GLU,OE2,0.2241,0.2241
GLU,HOE2,0.2241,0.2241
PHE,CB,0.0615,0.0615
PHE,HCB,0.0615,0.0615
PHE,CD1,0.1532,0.1532
PHE,HCD1,0.1532,0.1532
PHE,CD2,0.1608,0.1608
PHE,HCD2,0.1608,0.1608
PHE,CE1,0.2056,0.2056
PHE,HCE1,0.2056,0.2056
PHE,CE2,0.2122,0.2122
PHE,HCE2,0.2122,0.2122
PHE,CG,0.0921,0.0921
PHE,HCG,0.0921,0.0921
PHE,CZ,0.2173,0.2173
PHE,HCZ,0.2173,0.2173
HIS,CB,0.054,0.054
HIS,HCB,0.054,0.054
HSD,CB,0.054,0.054
HSP,CB,0.054,0.054
HSD,HCB,0.054,0.054
HSP,HCB,0.054,0.054
HIS,CD2,0.1848,0.1848
HIS,HCD2,0.1848,0.1848
HSD,CD2,0.1848,0.1848
HSP,CD2,0.1848,0.1848
HSD,HCD2,0.1848,0.1848
HSP,HCD2,0.1848,0.1848
HIS,CE1,0.2278,0.2278
HIS,HCE1,0.2278,0.2278
HSD,CE1,0.2278,0.2278
HSP,CE1,0.2278,0.2278
HSD,HCE1,0.2278,0.2278
HSP,HCE1,0.2278,0.2278
HIS,CG,0.0888,0.0888
HIS,HCG,0.0888,0.0888
HSD,CG,0.0888,0.0888
HSP,CG,0.0888,0.0888
