residue_type,atom_name,mu,sigma
CYS,CB,0.0568,0.0568
CYS,HCB,0.0568,0.0568
CYS,SG,0.9555,0.9555
CYS,HSG,0.9555,0.9555
ASP,CB,0.0591,0.0591
ASP,HCB,0.0591,0.0591
ASP,CG,0.7673,0.7673
ASP,HCG,0.7673,0.7673
ASP,OD1,1.2329,1.2329
ASP,HOD1,1.2329,1.2329
ASP,OD2,1.3044,1.3044
ASP,HOD2,1.3044,1.3044
GLU,CB,0.0555,0.0555
GLU,HCB,0.0555,0.0555
GLU,CD,1.0676,1.0676
GLU,HCD,1.0676,1.0676
GLU,CG,0.7283,0.7283
GLU,HCG,0.7283,0.7283
GLU,OE1,1.402,1.402
GLU,HOE1,1.402,1.402
GLU,OE2,1.469,1.469
GLU,HOE2,1.469,1.469
PHE,CB,0.0615,0.0615
PHE,HCB,0.0615,0.0615
PHE,CD1,0.3972,0.3972
PHE,HCD1,0.3972,0.3972
PHE,CD2,0.4537,0.4537
PHE,HCD2,0.4537,0.4537
PHE,CE1,0.5086,0.5086
PHE,HCE1,0.5086,0.5086
PHE,CE2,0.5853,0.5853
PHE,HCE2,0.5853,0.5853
PHE,CG,0.1809,0.1809
PHE,HCG,0.1809,0.1809
PHE,CZ,0.512,0.512
PHE,HCZ,0.512,0.512
HIS,CB,0.054,0.054
HIS,HCB,0.054,0.054
HSD,CB,0.054,0.054
HSP,CB,0.054,0.054
HSD,HCB,0.054,0.054
HSP,HCB,0.054,0.054
HIS,CD2,1.1371,1.1371
HIS,HCD2,1.1371,1.1371
HSD,CD2,1.1371,1.1371
HSP,CD2,1.1371,1.1371
HSD,HCD2,1.1371,1.1371
HSP,HCD2,1.1371,1.1371
HIS,CE1,1.4941,1.4941
HIS,HCE1,1.4941,1.4941
HSD,CE1,1.4941,1.4941
HSP,CE1,1.4941,1.4941
HSD,HCE1,1.4941,1.4941
HSP,HCE1,1.4941,1.4941
HIS,CG,0.5689,0.5689
HIS,HCG,0.5689,0.5689
HSD,CG,0.5689,0.5689
HSP,CG,0.5689,0.5689
HSD,HCG,0.5689,0.5689
