res_type,atom_name,mu,sigma
HSP,HCG,0.2017,0.2017
HIS,ND1,0.8214,0.8214
HIS,HND1,0.8214,0.8214
HSD,ND1,0.8214,0.8214
HSP,ND1,0.8214,0.8214
HSD,HND1,0.8214,0.8214
HSP,HND1,0.8214,0.8214
HIS,NE2,0.5655,0.5655
HIS,HNE2,0.5655,0.5655
HSD,NE2,0.5655,0.5655
HSP,NE2,0.5655,0.5655
HSD,HNE2,0.5655,0.5655
HSP,HNE2,0.5655,0.5655
ILE,CB,0.0391,0.0391
ILE,HCB,0.0391,0.0391
ILE,CD1,1.0772,1.0772
ILE,HCD1,1.0772,1.0772
ILE,CG1,0.39,0.39
ILE,HCG1,0.39,0.39
ILE,CG2,0.398,0.398
ILE,HCG2,0.398,0.398
LYS,CB,0.0557,0.0557
LYS,HCB,0.0557,0.0557
LYS,CD,0.4054,0.4054
LYS,HCD,0.4054,0.4054
LYS,CE,0.7097,0.7097
LYS,HCE,0.7097,0.7097
LYS,CG,0.2429,0.2429
LYS,HCG,0.2429,0.2429
LYS,NZ,1.034,1.034
LYS,HNZ,1.034,1.034
LEU,CB,0.0571,0.0571
LEU,HCB,0.0571,0.0571
LEU,CD1,0.3062,0.3062
LEU,HCD1,0.3062,0.3062
LEU,CD2,0.3369,0.3369
LEU,HCD2,0.3369,0.3369
LEU,CG,0.1562,0.1562
LEU,HCG,0.1562,0.1562
MET,CB,0.0562,0.0562
MET,HCB,0.0562,0.0562
MET,CE,1.1722,1.1722
MET,HCE,1.1722,1.1722
MET,CG,0.2866,0.2866
MET,HCG,0.2866,0.2866
MET,SD,0.5495,0.5495
MET,HSD,0.5495,0.5495
ASN,CB,0.0561,0.0561
ASN,HCB,0.0561,0.0561
ASN,CG,0.1936,0.1936
ASN,HCG,0.1936,0.1936
ASN,ND2,0.8036,0.8036
ASN,HND2,0.8036,0.8036
ASN,OD1,0.728,0.728
ASN,HOD1,0.728,0.728
PRO,CB,0.1186,0.1186
PRO,HCB,0.1186,0.1186
PRO,CD,0.2444,0.2444
PRO,HCD,0.2444,0.2444
PRO,CG,0.2228,0.2228
PRO,HCG,0.2228,0.2228
GLN,CB,0.054,0.054
GLN,HCB,0.054,0.054
GLN,CD,0.4377,0.4377
GLN,HCD,0.4377,0.4377
GLN,CG,0.3028,0.3028
GLN,HCG,0.3028,0.3028
GLN,NE2,0.9011,0.9011
GLN,HNE2,0.9011,0.9011
GLN,OE1,0.9025,0.9025
GLN,HOE1,0.9025,0.9025
ARG,CB,0.0592,0.0592
ARG,HCB,0.0592,0.0592
ARG,CD,0.5731,0.5731
ARG,HCD,0.5731,0.5731
ARG,CG,0.3825,0.3825
ARG,HCG,0.3825,0.3825
ARG,CZ,0.8589,0.8589
ARG,HCZ,0.8589,0.8589
ARG,NE,0.7676,0.7676
ARG,HNE,0.7676,0.7676
ARG,NH1,1.1854,1.1854
ARG,HNH1,1.1854,1.1854
ARG,NH2,1.0263,1.0263
ARG,HNH2,1.0263,1.0263
SER,CB,0.0667,0.0667
SER,HCB,0.0667,0.0667
SER,OG,1.1818,1.1818
SER,HOG,1.1818,1.1818
THR,CB,0.0574,0.0574
THR,HCB,0.0574,0.0574
THR,CG2,0.9914,0.9914
THR,HCG2,0.9914,0.9914
THR,OG1,0.9325,0.9325
THR,HOG1,0.9325,0.9325
VAL,CB,0.0404,0.0404
VAL,HCB,0.0404,0.0404
VAL,CG1,1.2286,1.2286
VAL,HCG1,1.2286,1.2286
VAL,CG2,1.2308,1.2308
VAL,HCG2,1.2308,1.2308
TRP,CB,0.0564,0.0564
TRP,HCB,0.0564,0.0564
TRP,CD1,0.3716,0.3716
TRP,HCD1,0.3716,0.3716
TRP,CD2,0.4032,0.4032
TRP,HCD2,0.4032,0.4032
TRP,CE2,0.4814,0.4814
TRP,HCE2,0.4814,0.4814
TRP,CE3,0.6407,0.6407
TRP,HCE3,0.6407,0.6407
TRP,CG,0.1859,0.1859
TRP,HCG,0.1859,0.1859
TRP,CH2,0.9042,0.9042
TRP,HCH2,0.9042,0.9042
TRP,CZ2,0.7072,0.7072
TRP,HCZ2,0.7072,0.7072
TRP,CZ3,0.892,0.892
TRP,HCZ3,0.892,0.892
TRP,NE1,0.4612,0.4612
TRP,HNE1,0.4612,0.4612
TYR,CB,0.0572,0.0572
TYR,HCB,0.0572,0.0572
TYR,CD1,0.4043,0.4043
TYR,HCD1,0.4043,0.4043
TYR,CD2,0.4087,0.4087
TYR,HCD2,0.4087,0.4087
TYR,CE1,0.524,0.524
TYR,HCE1,0.524,0.524
TYR,CE2,0.5483,0.5483
TYR,HCE2,0.5483,0.5483
TYR,CG,0.1773,0.1773
TYR,HCG,0.1773,0.1773
TYR,CZ,0.5156,0.5156
TYR,HCZ,0.5156,0.5156
TYR,OH,0.6953,0.6953
TYR,HOH,0.6953,0.6953
ALA,CB,0.0589,0.0589
ALA,HCB,0.0589,0.0589
