residue_type,atom_name,mu,sigma
CYS,CB,0.0568,0.0568
CYS,HCB,0.0568,0.0568
CYS,SG,0.2465,0.2465
CYS,HSG,0.2465,0.2465
ASP,CB,0.0591,0.0591
ASP,HCB,0.0591,0.0591
ASP,CG,0.1795,0.1795
ASP,HCG,0.1795,0.1795
ASP,OD1,0.5213,0.5213
ASP,HOD1,0.5213,0.5213
ASP,OD2,0.5809,0.5809
ASP,HOD2,0.5809,0.5809
GLU,CB,0.0555,0.0555
GLU,HCB,0.0555,0.0555
GLU,CD,0.2867,0.2867
GLU,HCD,0.2867,0.2867
GLU,CG,0.1957,0.1957
GLU,HCG,0.1957,0.1957
GLU,OE1,0.5436,0.5436
GLU,HOE1,0.5436,0.5436
GLU,OE2,0.646,0.646
GLU,HOE2,0.646,0.646
PHE,CB,0.0615,0.0615
PHE,HCB,0.0615,0.0615
PHE,CD1,0.3314,0.3314
PHE,HCD1,0.3314,0.3314
PHE,CD2,0.3703,0.3703
PHE,HCD2,0.3703,0.3703
PHE,CE1,0.4118,0.4118
PHE,HCE1,0.4118,0.4118
PHE,CE2,0.4721,0.4721
PHE,HCE2,0.4721,0.4721
PHE,CG,0.1426,0.1426
PHE,HCG,0.1426,0.1426
PHE,CZ,0.3969,0.3969
PHE,HCZ,0.3969,0.3969
HIS,CB,0.054,0.054
HIS,HCB,0.054,0.054
HSD,CB,0.054,0.054
HSP,CB,0.054,0.054
HSD,HCB,0.054,0.054
HSP,HCB,0.054,0.054
HIS,CD2,0.3956,0.3956
HIS,HCD2,0.3956,0.3956
HSD,CD2,0.3956,0.3956
HSP,CD2,0.3956,0.3956
HSD,HCD2,0.3956,0.3956
HSP,HCD2,0.3956,0.3956
HIS,CE1,0.4299,0.4299
HIS,HCE1,0.4299,0.4299
HSD,CE1,0.4299,0.4299
HSP,CE1,0.4299,0.4299
HSD,HCE1,0.4299,0.4299
HSP,HCE1,0.4299,0.4299
HIS,CG,0.1478,0.1478
HIS,HCG,0.1478,0.1478
HSD,CG,0.1478,0.1478
HSP,CG,0.1478,0.1478
