residue_type,atom_name,mu,sigma
CYS,CB,0.0568,0.0568
CYS,HCB,0.0568,0.0568
CYS,SG,0.2465,0.2465
CYS,HSG,0.2465,0.2465
ASP,CB,0.0591,0.0591
ASP,HCB,0.0591,0.0591
ASP,CG,0.1864,0.1864
ASP,HCG,0.1864,0.1864
ASP,OD1,0.3733,0.3733
ASP,HOD1,0.3733,0.3733
ASP,OD2,0.3691,0.3691
ASP,HOD2,0.3691,0.3691
GLU,CB,0.0555,0.0555
GLU,HCB,0.0555,0.0555
GLU,CD,0.2356,0.2356
GLU,HCD,0.2356,0.2356
GLU,CG,0.1685,0.1685
GLU,HCG,0.1685,0.1685
GLU,OE1,0.409,0.409
GLU,HOE1,0.409,0.409
GLU,OE2,0.4832,0.4832
GLU,HOE2,0.4832,0.4832
PHE,CB,0.0615,0.0615
PHE,HCB,0.0615,0.0615
PHE,CD1,0.2453,0.2453
PHE,HCD1,0.2453,0.2453
PHE,CD2,0.2709,0.2709
PHE,HCD2,0.2709,0.2709
PHE,CE1,0.3243,0.3243
PHE,HCE1,0.3243,0.3243
PHE,CE2,0.3658,0.3658
PHE,HCE2,0.3658,0.3658
PHE,CG,0.1189,0.1189
PHE,HCG,0.1189,0.1189
PHE,CZ,0.3337,0.3337
PHE,HCZ,0.3337,0.3337
HIS,CB,0.054,0.054
HIS,HCB,0.054,0.054
HSD,CB,0.054,0.054
HSP,CB,0.054,0.054
HSD,HCB,0.054,0.054
HSP,HCB,0.054,0.054
HIS,CD2,0.3247,0.3247
HIS,HCD2,0.3247,0.3247
HSD,CD2,0.3247,0.3247
HSP,CD2,0.3247,0.3247
HSD,HCD2,0.3247,0.3247
HSP,HCD2,0.3247,0.3247
HIS,CE1,0.3637,0.3637
HIS,HCE1,0.3637,0.3637
HSD,CE1,0.3637,0.3637
HSP,CE1,0.3637,0.3637
HSD,HCE1,0.3637,0.3637
HSP,HCE1,0.3637,0.3637
HIS,CG,0.1268,0.1268
HIS,HCG,0.1268,0.1268
HSD,CG,0.1268,0.1268
HSP,CG,0.1268,0.1268
