res_type,atom_name,mu,sigma
CYS,CB,0.0568,0.0568
CYS,HCB,0.0568,0.0568
CYS,SG,0.2465,0.2465
CYS,HSG,0.2465,0.2465
ASP,CB,0.0591,0.0591
ASP,HCB,0.0591,0.0591
ASP,CG,0.1766,0.1766
ASP,HCG,0.1766,0.1766
ASP,OD1,0.5212,0.5212
ASP,HOD1,0.5212,0.5212
ASP,OD2,0.5912,0.5912
ASP,HOD2,0.5912,0.5912
GLU,CB,0.0555,0.0555
GLU,HCB,0.0555,0.0555
GLU,CD,0.2838,0.2838
GLU,HCD,0.2838,0.2838
GLU,CG,0.1845,0.1845
GLU,HCG,0.1845,0.1845
GLU,OE1,0.59,0.59
GLU,HOE1,0.59,0.59
GLU,OE2,0.6991,0.6991
GLU,HOE2,0.6991,0.6991
PHE,CB,0.0615,0.0615
PHE,HCB,0.0615,0.0615
PHE,CD1,0.3537,0.3537
PHE,HCD1,0.3537,0.3537
PHE,CD2,0.3909,0.3909
PHE,HCD2,0.3909,0.3909
PHE,CE1,0.4512,0.4512
PHE,HCE1,0.4512,0.4512
PHE,CE2,0.5078,0.5078
PHE,HCE2,0.5078,0.5078
PHE,CG,0.1649,0.1649
PHE,HCG,0.1649,0.1649
PHE,CZ,0.4477,0.4477
PHE,HCZ,0.4477,0.4477
HIS,CB,0.054,0.054
HIS,HCB,0.054,0.054
HSD,CB,0.054,0.054
HSP,CB,0.054,0.054
HSD,HCB,0.054,0.054
HSP,HCB,0.054,0.054
HIS,CD2,0.4184,0.4184
HIS,HCD2,0.4184,0.4184
HSD,CD2,0.4184,0.4184
HSP,CD2,0.4184,0.4184
HSD,HCD2,0.4184,0.4184
HSP,HCD2,0.4184,0.4184
HIS,CE1,0.4967,0.4967
HIS,HCE1,0.4967,0.4967
HSD,CE1,0.4967,0.4967
HSP,CE1,0.4967,0.4967
HSD,HCE1,0.4967,0.4967
HSP,HCE1,0.4967,0.4967
HIS,CG,0.1813,0.1813
HIS,HCG,0.1813,0.1813
HSD,CG,0.1813,0.1813
HSP,CG,0.1813,0.1813
HSD,HCG,0.1813,0.1813
