residue_type,atom_name,mu,sigma
HSP,HCG,0.2017,0.2017
HIS,ND1,0.8214,0.8214
HIS,HND1,0.8214,0.8214
HSD,ND1,0.8214,0.8214
HSP,ND1,0.8214,0.8214
HSD,HND1,0.8214,0.8214
HSP,HND1,0.8214,0.8214
HIS,NE2,0.5655,0.5655
HIS,HNE2,0.5655,0.5655
HSD,NE2,0.5655,0.5655
HSP,NE2,0.5655,0.5655
HSD,HNE2,0.5655,0.5655
HSP,HNE2,0.5655,0.5655
ILE,CB,0.0391,0.0391
ILE,HCB,0.0391,0.0391
ILE,CD1,1.3833,1.3833
ILE,HCD1,1.3833,1.3833
ILE,CG1,1.1836,1.1836
ILE,HCG1,1.1836,1.1836
ILE,CG2,1.1861,1.1861
ILE,HCG2,1.1861,1.1861
LYS,CB,0.0557,0.0557
LYS,HCB,0.0557,0.0557
LYS,CD,0.3933,0.3933
LYS,HCD,0.3933,0.3933
LYS,CE,0.71,0.71
LYS,HCE,0.71,0.71
LYS,CG,0.239,0.239
LYS,HCG,0.239,0.239
LYS,NZ,1.0858,1.0858
LYS,HNZ,1.0858,1.0858
LEU,CB,0.0571,0.0571
LEU,HCB,0.0571,0.0571
LEU,CD1,0.3062,0.3062
LEU,HCD1,0.3062,0.3062
LEU,CD2,0.3369,0.3369
LEU,HCD2,0.3369,0.3369
LEU,CG,0.1562,0.1562
LEU,HCG,0.1562,0.1562
MET,CB,0.0562,0.0562
MET,HCB,0.0562,0.0562
MET,CE,1.1857,1.1857
MET,HCE,1.1857,1.1857
MET,CG,0.2883,0.2883
MET,HCG,0.2883,0.2883
MET,SD,0.5643,0.5643
MET,HSD,0.5643,0.5643
ASN,CB,0.0561,0.0561
ASN,HCB,0.0561,0.0561
ASN,CG,0.2002,0.2002
ASN,HCG,0.2002,0.2002
ASN,ND2,0.825,0.825
ASN,HND2,0.825,0.825
ASN,OD1,0.7175,0.7175
ASN,HOD1,0.7175,0.7175
PRO,CB,0.1186,0.1186
PRO,HCB,0.1186,0.1186
PRO,CD,0.2444,0.2444
PRO,HCD,0.2444,0.2444
PRO,CG,0.2228,0.2228
PRO,HCG,0.2228,0.2228
GLN,CB,0.054,0.054
GLN,HCB,0.054,0.054
GLN,CD,0.3832,0.3832
GLN,HCD,0.3832,0.3832
GLN,CG,0.2645,0.2645
GLN,HCG,0.2645,0.2645
GLN,NE2,0.8876,0.8876
GLN,HNE2,0.8876,0.8876
GLN,OE1,0.8036,0.8036
GLN,HOE1,0.8036,0.8036
ARG,CB,0.0592,0.0592
ARG,HCB,0.0592,0.0592
ARG,CD,0.6256,0.6256
ARG,HCD,0.6256,0.6256
ARG,CG,0.4837,0.4837
ARG,HCG,0.4837,0.4837
ARG,CZ,0.8311,0.8311
ARG,HCZ,0.8311,0.8311
ARG,NE,0.7327,0.7327
ARG,HNE,0.7327,0.7327
ARG,NH1,1.1467,1.1467
ARG,HNH1,1.1467,1.1467
ARG,NH2,1.0073,1.0073
ARG,HNH2,1.0073,1.0073
SER,CB,0.0667,0.0667
SER,HCB,0.0667,0.0667
SER,OG,1.1818,1.1818
SER,HOG,1.1818,1.1818
THR,CB,0.0574,0.0574
THR,HCB,0.0574,0.0574
THR,CG2,0.9914,0.9914
THR,HCG2,0.9914,0.9914
THR,OG1,0.9325,0.9325
THR,HOG1,0.9325,0.9325
VAL,CB,0.0404,0.0404
VAL,HCB,0.0404,0.0404
VAL,CG1,1.2286,1.2286
VAL,HCG1,1.2286,1.2286
VAL,CG2,1.2308,1.2308
VAL,HCG2,1.2308,1.2308
TRP,CB,0.0564,0.0564
TRP,HCB,0.0564,0.0564
TRP,CD1,0.3757,0.3757
TRP,HCD1,0.3757,0.3757
TRP,CD2,0.4096,0.4096
TRP,HCD2,0.4096,0.4096
TRP,CE2,0.4865,0.4865
TRP,HCE2,0.4865,0.4865
TRP,CE3,0.6538,0.6538
TRP,HCE3,0.6538,0.6538
TRP,CG,0.1885,0.1885
TRP,HCG,0.1885,0.1885
TRP,CH2,0.9187,0.9187
TRP,HCH2,0.9187,0.9187
TRP,CZ2,0.7157,0.7157
TRP,HCZ2,0.7157,0.7157
TRP,CZ3,0.9093,0.9093
TRP,HCZ3,0.9093,0.9093
TRP,NE1,0.4649,0.4649
TRP,HNE1,0.4649,0.4649
TYR,CB,0.0572,0.0572
TYR,HCB,0.0572,0.0572
TYR,CD1,0.4041,0.4041
TYR,HCD1,0.4041,0.4041
TYR,CD2,0.4068,0.4068
TYR,HCD2,0.4068,0.4068
TYR,CE1,0.525,0.525
TYR,HCE1,0.525,0.525
TYR,CE2,0.5466,0.5466
TYR,HCE2,0.5466,0.5466
TYR,CG,0.1768,0.1768
TYR,HCG,0.1768,0.1768
TYR,CZ,0.5164,0.5164
TYR,HCZ,0.5164,0.5164
TYR,OH,0.6971,0.6971
TYR,HOH,0.6971,0.6971
ALA,CB,0.0589,0.0589
ALA,HCB,0.0589,0.0589
