res_type,atom_name,mu,sigma
CYS,CB,0.0568,0.0568
CYS,HCB,0.0568,0.0568
CYS,SG,0.0896,0.0896
CYS,HSG,0.0896,0.0896
ASP,CB,0.0591,0.0591
ASP,HCB,0.0591,0.0591
ASP,CG,0.0807,0.0807
ASP,HCG,0.0807,0.0807
ASP,OD1,0.1138,0.1138
ASP,HOD1,0.1138,0.1138
ASP,OD2,0.1168,0.1168
ASP,HOD2,0.1168,0.1168
GLU,CB,0.0555,0.0555
GLU,HCB,0.0555,0.0555
GLU,CD,0.0924,0.0924
GLU,HCD,0.0924,0.0924
GLU,CG,0.0981,0.0981
GLU,HCG,0.0981,0.0981
GLU,OE1,0.1462,0.1462
GLU,HOE1,0.1462,0.1462
GLU,OE2,0.14,0.14
GLU,HOE2,0.14,0.14
PHE,CB,0.0615,0.0615
PHE,HCB,0.0615,0.0615
PHE,CD1,0.1005,0.1005
PHE,HCD1,0.1005,0.1005
PHE,CD2,0.1169,0.1169
PHE,HCD2,0.1169,0.1169
PHE,CE1,0.1272,0.1272
PHE,HCE1,0.1272,0.1272
PHE,CE2,0.1454,0.1454
PHE,HCE2,0.1454,0.1454
PHE,CG,0.0728,0.0728
PHE,HCG,0.0728,0.0728
PHE,CZ,0.1369,0.1369
PHE,HCZ,0.1369,0.1369
HIS,CB,0.054,0.054
HIS,HCB,0.054,0.054
HSD,CB,0.054,0.054
HSP,CB,0.054,0.054
HSD,HCB,0.054,0.054
HSP,HCB,0.054,0.054
HIS,CD2,0.1334,0.1334
HIS,HCD2,0.1334,0.1334
HSD,CD2,0.1334,0.1334
HSP,CD2,0.1334,0.1334
HSD,HCD2,0.1334,0.1334
HSP,HCD2,0.1334,0.1334
HIS,CE1,0.1438,0.1438
HIS,HCE1,0.1438,0.1438
HSD,CE1,0.1438,0.1438
HSP,CE1,0.1438,0.1438
HSD,HCE1,0.1438,0.1438
HSP,HCE1,0.1438,0.1438
HIS,CG,0.0748,0.0748
HIS,HCG,0.0748,0.0748
HSD,CG,0.0748,0.0748
HSP,CG,0.0748,0.0748
HSD,HCG,0.0748,0.0748
