res_type,atom_name,mu,sigma
CYS,CB,0.0568,0.0568
CYS,HCB,0.0568,0.0568
CYS,SG,0.2241,0.2241
CYS,HSG,0.2241,0.2241
ASP,CB,0.0591,0.0591
ASP,HCB,0.0591,0.0591
ASP,CG,0.177,0.177
ASP,HCG,0.177,0.177
ASP,OD1,0.5235,0.5235
ASP,HOD1,0.5235,0.5235
ASP,OD2,0.5978,0.5978
ASP,HOD2,0.5978,0.5978
GLU,CB,0.0555,0.0555
GLU,HCB,0.0555,0.0555
GLU,CD,0.2951,0.2951
GLU,HCD,0.2951,0.2951
GLU,CG,0.1871,0.1871
GLU,HCG,0.1871,0.1871
GLU,OE1,0.5991,0.5991
GLU,HOE1,0.5991,0.5991
GLU,OE2,0.7064,0.7064
GLU,HOE2,0.7064,0.7064
PHE,CB,0.0615,0.0615
PHE,HCB,0.0615,0.0615
PHE,CD1,0.3951,0.3951
PHE,HCD1,0.3951,0.3951
PHE,CD2,0.4018,0.4018
PHE,HCD2,0.4018,0.4018
PHE,CE1,0.5041,0.5041
PHE,HCE1,0.5041,0.5041
PHE,CE2,0.5184,0.5184
PHE,HCE2,0.5184,0.5184
PHE,CG,0.1749,0.1749
PHE,HCG,0.1749,0.1749
PHE,CZ,0.4744,0.4744
PHE,HCZ,0.4744,0.4744
HIS,CB,0.054,0.054
HIS,HCB,0.054,0.054
HSD,CB,0.054,0.054
HSP,CB,0.054,0.054
HSD,HCB,0.054,0.054
HSP,HCB,0.054,0.054
HIS,CD2,0.4706,0.4706
HIS,HCD2,0.4706,0.4706
HSD,CD2,0.4706,0.4706
HSP,CD2,0.4706,0.4706
HSD,HCD2,0.4706,0.4706
HSP,HCD2,0.4706,0.4706
HIS,CE1,0.561,0.561
HIS,HCE1,0.561,0.561
HSD,CE1,0.561,0.561
HSP,CE1,0.561,0.561
HSD,HCE1,0.561,0.561
HSP,HCE1,0.561,0.561
HIS,CG,0.2082,0.2082
HIS,HCG,0.2082,0.2082
HSD,CG,0.2082,0.2082
HSP,CG,0.2082,0.2082
HSD,HCG,0.2082,0.2082
