res_type,atom_name,mu,sigma
CYS,CB,0.0568,0.0568
CYS,HCB,0.0568,0.0568
CYS,SG,0.9555,0.9555
CYS,HSG,0.9555,0.9555
ASP,CB,0.0591,0.0591
ASP,HCB,0.0591,0.0591
ASP,CG,0.7673,0.7673
ASP,HCG,0.7673,0.7673
ASP,OD1,1.2329,1.2329
ASP,HOD1,1.2329,1.2329
ASP,OD2,1.3044,1.3044
ASP,HOD2,1.3044,1.3044
GLU,CB,0.0555,0.0555
GLU,HCB,0.0555,0.0555
GLU,CD,1.0676,1.0676
GLU,HCD,1.0676,1.0676
GLU,CG,0.7283,0.7283
GLU,HCG,0.7283,0.7283
GLU,OE1,1.402,1.402
GLU,HOE1,1.402,1.402
GLU,OE2,1.469,1.469
GLU,HOE2,1.469,1.469
PHE,CB,0.0615,0.0615
PHE,HCB,0.0615,0.0615
PHE,CD1,1.0437,1.0437
PHE,HCD1,1.0437,1.0437
PHE,CD2,1.0037,1.0037
PHE,HCD2,1.0037,1.0037
PHE,CE1,1.5392,1.5392
PHE,HCE1,1.5392,1.5392
PHE,CE2,1.517,1.517
PHE,HCE2,1.517,1.517
PHE,CG,0.5772,0.5772
PHE,HCG,0.5772,0.5772
PHE,CZ,1.6865,1.6865
PHE,HCZ,1.6865,1.6865
HIS,CB,0.054,0.054
HIS,HCB,0.054,0.054
HSD,CB,0.054,0.054
HSP,CB,0.054,0.054
HSD,HCB,0.054,0.054
HSP,HCB,0.054,0.054
HIS,CD2,1.4402,1.4402
HIS,HCD2,1.4402,1.4402
HSD,CD2,1.4402,1.4402
HSP,CD2,1.4402,1.4402
HSD,HCD2,1.4402,1.4402
HSP,HCD2,1.4402,1.4402
HIS,CE1,1.7339,1.7339
HIS,HCE1,1.7339,1.7339
HSD,CE1,1.7339,1.7339
HSP,CE1,1.7339,1.7339
HSD,HCE1,1.7339,1.7339
HSP,HCE1,1.7339,1.7339
HIS,CG,0.6893,0.6893
HIS,HCG,0.6893,0.6893
HSD,CG,0.6893,0.6893
HSP,CG,0.6893,0.6893
HSD,HCG,0.6893,0.6893
