res_type,atom_name,mu,sigma
CYS,CB,0.0568,0.0568
CYS,HCB,0.0568,0.0568
CYS,SG,0.2465,0.2465
CYS,HSG,0.2465,0.2465
ASP,CB,0.0591,0.0591
ASP,HCB,0.0591,0.0591
ASP,CG,0.1742,0.1742
ASP,HCG,0.1742,0.1742
ASP,OD1,0.5242,0.5242
ASP,HOD1,0.5242,0.5242
ASP,OD2,0.5886,0.5886
ASP,HOD2,0.5886,0.5886
GLU,CB,0.0555,0.0555
GLU,HCB,0.0555,0.0555
GLU,CD,0.2932,0.2932
GLU,HCD,0.2932,0.2932
GLU,CG,0.2176,0.2176
GLU,HCG,0.2176,0.2176
GLU,OE1,0.548,0.548
GLU,HOE1,0.548,0.548
GLU,OE2,0.6309,0.6309
GLU,HOE2,0.6309,0.6309
PHE,CB,0.0615,0.0615
PHE,HCB,0.0615,0.0615
PHE,CD1,0.3427,0.3427
PHE,HCD1,0.3427,0.3427
PHE,CD2,0.3719,0.3719
PHE,HCD2,0.3719,0.3719
PHE,CE1,0.4253,0.4253
PHE,HCE1,0.4253,0.4253
PHE,CE2,0.4698,0.4698
PHE,HCE2,0.4698,0.4698
PHE,CG,0.1491,0.1491
PHE,HCG,0.1491,0.1491
PHE,CZ,0.4008,0.4008
PHE,HCZ,0.4008,0.4008
HIS,CB,0.054,0.054
HIS,HCB,0.054,0.054
HSD,CB,0.054,0.054
HSP,CB,0.054,0.054
HSD,HCB,0.054,0.054
HSP,HCB,0.054,0.054
HIS,CD2,0.4006,0.4006
HIS,HCD2,0.4006,0.4006
HSD,CD2,0.4006,0.4006
HSP,CD2,0.4006,0.4006
HSD,HCD2,0.4006,0.4006
HSP,HCD2,0.4006,0.4006
HIS,CE1,0.4388,0.4388
HIS,HCE1,0.4388,0.4388
HSD,CE1,0.4388,0.4388
HSP,CE1,0.4388,0.4388
HSD,HCE1,0.4388,0.4388
HSP,HCE1,0.4388,0.4388
HIS,CG,0.1627,0.1627
HIS,HCG,0.1627,0.1627
HSD,CG,0.1627,0.1627
HSP,CG,0.1627,0.1627
HSD,HCG,0.1627,0.1627
