res_type,atom_name,mu,sigma
CYS,CB,0.0568,0.0568
CYS,HCB,0.0568,0.0568
CYS,SG,0.2465,0.2465
CYS,HSG,0.2465,0.2465
ASP,CB,0.0591,0.0591
ASP,HCB,0.0591,0.0591
ASP,CG,0.1806,0.1806
ASP,HCG,0.1806,0.1806
ASP,OD1,0.3739,0.3739
ASP,HOD1,0.3739,0.3739
ASP,OD2,0.4366,0.4366
ASP,HOD2,0.4366,0.4366
GLU,CB,0.0555,0.0555
GLU,HCB,0.0555,0.0555
GLU,CD,0.2248,0.2248
GLU,HCD,0.2248,0.2248
GLU,CG,0.1915,0.1915
GLU,HCG,0.1915,0.1915
GLU,OE1,0.3946,0.3946
GLU,HOE1,0.3946,0.3946
GLU,OE2,0.4422,0.4422
GLU,HOE2,0.4422,0.4422
PHE,CB,0.0615,0.0615
PHE,HCB,0.0615,0.0615
PHE,CD1,0.2536,0.2536
PHE,HCD1,0.2536,0.2536
PHE,CD2,0.2909,0.2909
PHE,HCD2,0.2909,0.2909
PHE,CE1,0.3272,0.3272
PHE,HCE1,0.3272,0.3272
PHE,CE2,0.3778,0.3778
PHE,HCE2,0.3778,0.3778
PHE,CG,0.118,0.118
PHE,HCG,0.118,0.118
PHE,CZ,0.3257,0.3257
PHE,HCZ,0.3257,0.3257
HIS,CB,0.054,0.054
HIS,HCB,0.054,0.054
HSD,CB,0.054,0.054
HSP,CB,0.054,0.054
HSD,HCB,0.054,0.054
HSP,HCB,0.054,0.054
HIS,CD2,0.3003,0.3003
HIS,HCD2,0.3003,0.3003
HSD,CD2,0.3003,0.3003
HSP,CD2,0.3003,0.3003
HSD,HCD2,0.3003,0.3003
HSP,HCD2,0.3003,0.3003
HIS,CE1,0.3555,0.3555
HIS,HCE1,0.3555,0.3555
HSD,CE1,0.3555,0.3555
HSP,CE1,0.3555,0.3555
HSD,HCE1,0.3555,0.3555
HSP,HCE1,0.3555,0.3555
HIS,CG,0.1299,0.1299
HIS,HCG,0.1299,0.1299
HSD,CG,0.1299,0.1299
HSP,CG,0.1299,0.1299
HSD,HCG,0.1299,0.1299
