res_type,atom_name,mu,sigma
CYS,CB,0.0568,0.0568
CYS,HCB,0.0568,0.0568
CYS,SG,0.2465,0.2465
CYS,HSG,0.2465,0.2465
ASP,CB,0.0591,0.0591
ASP,HCB,0.0591,0.0591
ASP,CG,0.1965,0.1965
ASP,HCG,0.1965,0.1965
ASP,OD1,0.4656,0.4656
ASP,HOD1,0.4656,0.4656
ASP,OD2,0.5522,0.5522
ASP,HOD2,0.5522,0.5522
GLU,CB,0.0555,0.0555
GLU,HCB,0.0555,0.0555
GLU,CD,0.293,0.293
GLU,HCD,0.293,0.293
GLU,CG,0.2043,0.2043
GLU,HCG,0.2043,0.2043
GLU,OE1,0.4888,0.4888
GLU,HOE1,0.4888,0.4888
GLU,OE2,0.5785,0.5785
GLU,HOE2,0.5785,0.5785
PHE,CB,0.0615,0.0615
PHE,HCB,0.0615,0.0615
PHE,CD1,0.3105,0.3105
PHE,HCD1,0.3105,0.3105
PHE,CD2,0.3537,0.3537
PHE,HCD2,0.3537,0.3537
PHE,CE1,0.3794,0.3794
PHE,HCE1,0.3794,0.3794
PHE,CE2,0.4485,0.4485
PHE,HCE2,0.4485,0.4485
PHE,CG,0.128,0.128
PHE,HCG,0.128,0.128
PHE,CZ,0.3636,0.3636
PHE,HCZ,0.3636,0.3636
HIS,CB,0.054,0.054
HIS,HCB,0.054,0.054
HSD,CB,0.054,0.054
HSP,CB,0.054,0.054
HSD,HCB,0.054,0.054
HSP,HCB,0.054,0.054
HIS,CD2,0.3853,0.3853
HIS,HCD2,0.3853,0.3853
HSD,CD2,0.3853,0.3853
HSP,CD2,0.3853,0.3853
HSD,HCD2,0.3853,0.3853
HSP,HCD2,0.3853,0.3853
HIS,CE1,0.4058,0.4058
HIS,HCE1,0.4058,0.4058
HSD,CE1,0.4058,0.4058
HSP,CE1,0.4058,0.4058
HSD,HCE1,0.4058,0.4058
HSP,HCE1,0.4058,0.4058
HIS,CG,0.1355,0.1355
HIS,HCG,0.1355,0.1355
HSD,CG,0.1355,0.1355
HSP,CG,0.1355,0.1355
HSD,HCG,0.1355,0.1355
