res_type,atom_name,mu,sigma
CYS,CB,0.0568,0.0568
CYS,HCB,0.0568,0.0568
CYS,SG,0.2465,0.2465
CYS,HSG,0.2465,0.2465
ASP,CB,0.0591,0.0591
ASP,HCB,0.0591,0.0591
ASP,CG,0.1874,0.1874
ASP,HCG,0.1874,0.1874
ASP,OD1,0.4389,0.4389
ASP,HOD1,0.4389,0.4389
ASP,OD2,0.5371,0.5371
ASP,HOD2,0.5371,0.5371
GLU,CB,0.0555,0.0555
GLU,HCB,0.0555,0.0555
GLU,CD,0.2744,0.2744
GLU,HCD,0.2744,0.2744
GLU,CG,0.1976,0.1976
GLU,HCG,0.1976,0.1976
GLU,OE1,0.4782,0.4782
GLU,HOE1,0.4782,0.4782
GLU,OE2,0.5197,0.5197
GLU,HOE2,0.5197,0.5197
PHE,CB,0.0615,0.0615
PHE,HCB,0.0615,0.0615
PHE,CD1,0.2862,0.2862
PHE,HCD1,0.2862,0.2862
PHE,CD2,0.3146,0.3146
PHE,HCD2,0.3146,0.3146
PHE,CE1,0.369,0.369
PHE,HCE1,0.369,0.369
PHE,CE2,0.4166,0.4166
PHE,HCE2,0.4166,0.4166
PHE,CG,0.132,0.132
PHE,HCG,0.132,0.132
PHE,CZ,0.374,0.374
PHE,HCZ,0.374,0.374
HIS,CB,0.054,0.054
HIS,HCB,0.054,0.054
HSD,CB,0.054,0.054
HSP,CB,0.054,0.054
HSD,HCB,0.054,0.054
HSP,HCB,0.054,0.054
HIS,CD2,0.355,0.355
HIS,HCD2,0.355,0.355
HSD,CD2,0.355,0.355
HSP,CD2,0.355,0.355
HSD,HCD2,0.355,0.355
HSP,HCD2,0.355,0.355
HIS,CE1,0.4211,0.4211
HIS,HCE1,0.4211,0.4211
HSD,CE1,0.4211,0.4211
HSP,CE1,0.4211,0.4211
HSD,HCE1,0.4211,0.4211
HSP,HCE1,0.4211,0.4211
HIS,CG,0.1408,0.1408
HIS,HCG,0.1408,0.1408
HSD,CG,0.1408,0.1408
HSP,CG,0.1408,0.1408
HSD,HCG,0.1408,0.1408
HSP,HCG,0.1408,0.1408
