residue_type,atom_name,mu,sigma
CYS,CB,0.0568,0.0568
CYS,HCB,0.0568,0.0568
CYS,SG,0.2221,0.2221
CYS,HSG,0.2221,0.2221
ASP,CB,0.0591,0.0591
ASP,HCB,0.0591,0.0591
ASP,CG,0.1508,0.1508
ASP,HCG,0.1508,0.1508
ASP,OD1,0.2408,0.2408
ASP,HOD1,0.2408,0.2408
ASP,OD2,0.2562,0.2562
ASP,HOD2,0.2562,0.2562
GLU,CB,0.0555,0.0555
GLU,HCB,0.0555,0.0555
GLU,CD,0.1895,0.1895
GLU,HCD,0.1895,0.1895
GLU,CG,0.1458,0.1458
GLU,HCG,0.1458,0.1458
GLU,OE1,0.312,0.312
GLU,HOE1,0.312,0.312
GLU,OE2,0.3299,0.3299
GLU,HOE2,0.3299,0.3299
PHE,CB,0.0615,0.0615
PHE,HCB,0.0615,0.0615
PHE,CD1,0.2122,0.2122
PHE,HCD1,0.2122,0.2122
PHE,CD2,0.232,0.232
PHE,HCD2,0.232,0.232
PHE,CE1,0.286,0.286
PHE,HCE1,0.286,0.286
PHE,CE2,0.3128,0.3128
PHE,HCE2,0.3128,0.3128
PHE,CG,0.1061,0.1061
PHE,HCG,0.1061,0.1061
PHE,CZ,0.2968,0.2968
PHE,HCZ,0.2968,0.2968
HIS,CB,0.054,0.054
HIS,HCB,0.054,0.054
HSD,CB,0.054,0.054
HSP,CB,0.054,0.054
HSD,HCB,0.054,0.054
HSP,HCB,0.054,0.054
HIS,CD2,0.2597,0.2597
HIS,HCD2,0.2597,0.2597
HSD,CD2,0.2597,0.2597
HSP,CD2,0.2597,0.2597
HSD,HCD2,0.2597,0.2597
HSP,HCD2,0.2597,0.2597
HIS,CE1,0.2813,0.2813
HIS,HCE1,0.2813,0.2813
HSD,CE1,0.2813,0.2813
HSP,CE1,0.2813,0.2813
HSD,HCE1,0.2813,0.2813
HSP,HCE1,0.2813,0.2813
HIS,CG,0.1151,0.1151
HIS,HCG,0.1151,0.1151
HSD,CG,0.1151,0.1151
HSP,CG,0.1151,0.1151
HSD,HCG,0.1151,0.1151
