res_type,atom_name,mu,sigma
CYS,CB,0.0568,0.0568
CYS,HCB,0.0568,0.0568
CYS,SG,0.1649,0.1649
CYS,HSG,0.1649,0.1649
ASP,CB,0.0591,0.0591
ASP,HCB,0.0591,0.0591
ASP,CG,0.1177,0.1177
ASP,HCG,0.1177,0.1177
ASP,OD1,0.2046,0.2046
ASP,HOD1,0.2046,0.2046
ASP,OD2,0.1984,0.1984
ASP,HOD2,0.1984,0.1984
GLU,CB,0.0555,0.0555
GLU,HCB,0.0555,0.0555
GLU,CD,0.1394,0.1394
GLU,HCD,0.1394,0.1394
GLU,CG,0.1335,0.1335
GLU,HCG,0.1335,0.1335
GLU,OE1,0.2291,0.2291
GLU,HOE1,0.2291,0.2291
GLU,OE2,0.2423,0.2423
GLU,HOE2,0.2423,0.2423
PHE,CB,0.0615,0.0615
PHE,HCB,0.0615,0.0615
PHE,CD1,0.1721,0.1721
PHE,HCD1,0.1721,0.1721
PHE,CD2,0.1722,0.1722
PHE,HCD2,0.1722,0.1722
PHE,CE1,0.2293,0.2293
PHE,HCE1,0.2293,0.2293
PHE,CE2,0.2237,0.2237
PHE,HCE2,0.2237,0.2237
PHE,CG,0.0879,0.0879
PHE,HCG,0.0879,0.0879
PHE,CZ,0.2192,0.2192
PHE,HCZ,0.2192,0.2192
HIS,CB,0.054,0.054
HIS,HCB,0.054,0.054
HSD,CB,0.054,0.054
HSP,CB,0.054,0.054
HSD,HCB,0.054,0.054
HSP,HCB,0.054,0.054
HIS,CD2,0.2117,0.2117
HIS,HCD2,0.2117,0.2117
HSD,CD2,0.2117,0.2117
HSP,CD2,0.2117,0.2117
HSD,HCD2,0.2117,0.2117
HSP,HCD2,0.2117,0.2117
HIS,CE1,0.2354,0.2354
HIS,HCE1,0.2354,0.2354
HSD,CE1,0.2354,0.2354
HSP,CE1,0.2354,0.2354
HSD,HCE1,0.2354,0.2354
HSP,HCE1,0.2354,0.2354
HIS,CG,0.098,0.098
HIS,HCG,0.098,0.098
HSD,CG,0.098,0.098
HSP,CG,0.098,0.098
HSD,HCG,0.098,0.098
