res_type,atom_name,mu,sigma
CYS,CB,0.0568,0.0568
CYS,HCB,0.0568,0.0568
CYS,SG,0.2465,0.2465
CYS,HSG,0.2465,0.2465
ASP,CB,0.0591,0.0591
ASP,HCB,0.0591,0.0591
ASP,CG,0.177,0.177
ASP,HCG,0.177,0.177
ASP,OD1,0.5235,0.5235
ASP,HOD1,0.5235,0.5235
ASP,OD2,0.5978,0.5978
ASP,HOD2,0.5978,0.5978
GLU,CB,0.0555,0.0555
GLU,HCB,0.0555,0.0555
GLU,CD,0.2955,0.2955
GLU,HCD,0.2955,0.2955
GLU,CG,0.1888,0.1888
GLU,HCG,0.1888,0.1888
GLU,OE1,0.6051,0.6051
GLU,HOE1,0.6051,0.6051
GLU,OE2,0.7121,0.7121
GLU,HOE2,0.7121,0.7121
PHE,CB,0.0615,0.0615
PHE,HCB,0.0615,0.0615
PHE,CD1,0.3589,0.3589
PHE,HCD1,0.3589,0.3589
PHE,CD2,0.4106,0.4106
PHE,HCD2,0.4106,0.4106
PHE,CE1,0.4627,0.4627
PHE,HCE1,0.4627,0.4627
PHE,CE2,0.5357,0.5357
PHE,HCE2,0.5357,0.5357
PHE,CG,0.1685,0.1685
PHE,HCG,0.1685,0.1685
PHE,CZ,0.4699,0.4699
PHE,HCZ,0.4699,0.4699
HIS,CB,0.054,0.054
HIS,HCB,0.054,0.054
HSD,CB,0.054,0.054
HSP,CB,0.054,0.054
HSD,HCB,0.054,0.054
HSP,HCB,0.054,0.054
HIS,CD2,0.466,0.466
HIS,HCD2,0.466,0.466
HSD,CD2,0.466,0.466
HSP,CD2,0.466,0.466
HSD,HCD2,0.466,0.466
HSP,HCD2,0.466,0.466
HIS,CE1,0.5606,0.5606
HIS,HCE1,0.5606,0.5606
HSD,CE1,0.5606,0.5606
HSP,CE1,0.5606,0.5606
HSD,HCE1,0.5606,0.5606
HSP,HCE1,0.5606,0.5606
HIS,CG,0.2081,0.2081
HIS,HCG,0.2081,0.2081
HSD,CG,0.2081,0.2081
HSP,CG,0.2081,0.2081
HSD,HCG,0.2081,0.2081
