res_type,atom_name,mu,sigma
CYS,CB,0.0568,0.0568
CYS,HCB,0.0568,0.0568
CYS,SG,0.9555,0.9555
CYS,HSG,0.9555,0.9555
ASP,CB,0.0591,0.0591
ASP,HCB,0.0591,0.0591
ASP,CG,0.177,0.177
ASP,HCG,0.177,0.177
ASP,OD1,0.5235,0.5235
ASP,HOD1,0.5235,0.5235
ASP,OD2,0.5978,0.5978
ASP,HOD2,0.5978,0.5978
GLU,CB,0.0555,0.0555
GLU,HCB,0.0555,0.0555
GLU,CD,0.4053,0.4053
GLU,HCD,0.4053,0.4053
GLU,CG,0.2182,0.2182
GLU,HCG,0.2182,0.2182
GLU,OE1,0.6822,0.6822
GLU,HOE1,0.6822,0.6822
GLU,OE2,0.8501,0.8501
GLU,HOE2,0.8501,0.8501
PHE,CB,0.0615,0.0615
PHE,HCB,0.0615,0.0615
PHE,CD1,0.4058,0.4058
PHE,HCD1,0.4058,0.4058
PHE,CD2,0.4668,0.4668
PHE,HCD2,0.4668,0.4668
PHE,CE1,0.5145,0.5145
PHE,HCE1,0.5145,0.5145
PHE,CE2,0.5946,0.5946
PHE,HCE2,0.5946,0.5946
PHE,CG,0.1862,0.1862
PHE,HCG,0.1862,0.1862
PHE,CZ,0.5072,0.5072
PHE,HCZ,0.5072,0.5072
HIS,CB,0.054,0.054
HIS,HCB,0.054,0.054
HSD,CB,0.054,0.054
HSP,CB,0.054,0.054
HSD,HCB,0.054,0.054
HSP,HCB,0.054,0.054
HIS,CD2,0.6861,0.6861
HIS,HCD2,0.6861,0.6861
HSD,CD2,0.6861,0.6861
HSP,CD2,0.6861,0.6861
HSD,HCD2,0.6861,0.6861
HSP,HCD2,0.6861,0.6861
HIS,CE1,0.7345,0.7345
HIS,HCE1,0.7345,0.7345
HSD,CE1,0.7345,0.7345
HSP,CE1,0.7345,0.7345
HSD,HCE1,0.7345,0.7345
HSP,HCE1,0.7345,0.7345
HIS,CG,0.2017,0.2017
HIS,HCG,0.2017,0.2017
HSD,CG,0.2017,0.2017
HSP,CG,0.2017,0.2017
HSD,HCG,0.2017,0.2017
